,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
280,Zhangjiakou,62,CN,1559408221,65,40.77,114.88,53.07,7.0
281,Maceio,40,BR,1559408222,66,-9.67,-35.74,84.2,3.36
282,Camacha,0,PT,1559408223,64,33.08,-16.33,86.0,19.46
283,Solnechnyy,83,RU,1559408225,96,50.72,136.64,40.47,3.53
284,Kruisfontein,33,ZA,1559408226,93,-34.0,24.73,56.13,0.34
285,Qaqortoq,40,GL,1559408227,71,60.72,-46.03,46.4,10.29
286,Santa Rosa de Aguan,100,HN,1559408229,68,15.95,-85.71,85.29,7.67
287,Bria,98,CF,1559408230,68,6.54,21.99,78.99,2.71
288,Bideford,0,GB,1559408231,77,51.02,-4.21,72.0,8.05
289,Marienburg,0,DE,1559408233,47,52.12,9.98,78.8,6.93
290,Mwinilunga,90,ZM,1559408234,56,-11.73,24.43,58.47,2.71
291,Saldanha,0,PT,1559408235,22,41.42,-6.55,84.93,12.48
292,Hendek,75,TR,1559408237,69,40.8,30.75,75.2,10.29
293,Namatanai,61,PG,1559408238,88,-3.66,152.44,78.45,11.86
294,Nantucket,90,US,1559408239,87,41.28,-70.1,73.0,6.93
295,Sola,75,NO,1559408241,87,58.89,5.65,51.8,8.05
296,Nalut,0,LY,1559408242,45,31.86,10.98,69.09,20.4
297,Aalen,0,DE,1559408244,47,48.84,10.09,82.0,3.36
298,Laurel,20,US,1559408245,55,45.67,-108.77,69.01,4.7
299,Newry,75,GB,1559408246,63,54.18,-6.34,64.4,6.93
300,Aklavik,5,CA,1559408248,70,68.22,-135.01,51.8,6.93
301,Port Lincoln,93,AU,1559408249,65,-34.72,135.86,60.09,7.87
302,La Romana,40,DO,1559408251,66,18.43,-68.97,86.0,11.41
303,Nizhniy Baskunchak,0,RU,1559408252,34,48.22,46.83,81.87,8.37
304,Zyryanka,60,RU,1559408253,66,65.73,150.89,48.57,10.18
305,Ostrovnoy,100,RU,1559408255,57,68.05,39.51,48.75,16.98
306,Kalmunai,78,LK,1559408256,80,7.42,81.82,78.81,1.32
307,Pakhtakoron,24,UZ,1559408257,53,40.16,68.75,75.93,1.99
308,Xuddur,98,SO,1559408259,71,4.12,43.89,77.91,15.08
309,Mar del Plata,100,AR,1559408260,82,-46.43,-67.52,47.49,13.51
310,Ixtapa,90,MX,1559408261,88,20.71,-105.21,78.01,5.82
311,Veraval,0,FR,1559408263,47,49.65,0.71,82.99,8.05
312,Zhanakorgan,43,KZ,1559408264,34,43.91,67.25,79.17,5.46
313,Waddan,63,LY,1559408266,35,29.16,16.14,84.39,13.94
314,Saint-Augustin,0,FR,1559408267,33,44.83,-0.61,93.0,6.93
315,Tuktoyaktuk,20,CA,1559408268,82,69.44,-133.03,42.8,11.41
316,Beruwala,84,LK,1559408270,81,6.48,79.98,83.67,17.22
317,Twentynine Palms,1,US,1559408271,23,34.14,-116.05,86.0,6.55
318,Evensk,100,RU,1559408272,63,61.92,159.24,53.61,4.32
319,Cabo San Lucas,5,MX,1559408176,77,22.89,-109.91,82.0,23.04
320,Okhotsk,80,RU,1559408275,94,59.36,143.24,38.49,3.58
321,Luderitz,0,NA,1559408276,77,-26.65,15.16,59.0,18.34
322,Suez,1,EG,1559408277,31,29.97,32.54,83.13,13.22
323,Khani,40,GE,1559408279,50,41.96,42.96,77.0,11.41
324,Gornopravdinsk,0,RU,1559408281,66,60.06,69.92,47.67,4.97
325,Atherton,94,GB,1559408165,68,53.52,-2.49,72.0,2.24
326,Bose,0,IT,1559408284,44,45.46,8.01,84.0,2.24
327,Nara,98,JP,1559408285,73,34.68,135.8,69.8,6.93
328,Praia,20,BR,1559408286,30,-20.25,-43.81,84.2,10.29
329,Sokolo,76,ML,1559408288,7,14.74,-6.12,109.05,7.7
330,Dunedin,69,NZ,1559408289,84,-45.87,170.5,41.0,15.99
331,Kumluca,88,TR,1559408291,51,36.37,30.29,67.29,2.53
332,Bubaque,6,GW,1559408292,79,11.28,-15.83,79.53,14.14
333,Tambacounda,0,SN,1559408294,43,13.77,-13.67,105.8,6.93
334,Concepcion del Uruguay,60,AR,1559408198,63,-32.48,-58.24,68.0,3.0
335,Santa Maria,90,BR,1559408297,88,-29.69,-53.81,62.6,6.93
336,Homer,90,US,1559408299,76,59.64,-151.54,52.0,5.84
337,Harper,40,US,1559408300,58,30.3,-99.24,86.0,10.29
338,Moscow,0,RU,1559408121,49,55.75,37.62,69.8,11.18
339,Oranjestad,75,AW,1559408275,62,12.52,-70.03,87.8,12.75
340,Smithers,75,CA,1559408304,82,54.78,-127.17,55.4,4.7
341,Isangel,99,VU,1559408305,75,-19.55,169.27,74.49,16.33
342,Abu Samrah,55,SY,1559408307,21,35.3,37.18,88.17,10.92
343,Reyes,75,BO,1559408308,74,-14.3,-67.34,86.0,6.93
344,Harnoli,0,PK,1559408310,10,32.28,71.55,103.11,3.29
345,Lyuban,7,BY,1559408311,86,52.8,28.0,63.87,3.91
346,Alausi,59,EC,1559408313,83,-2.2,-78.83,64.95,6.62
347,Marawi,100,PH,1559408314,89,8.0,124.29,79.0,3.0
348,Katherine,43,AU,1559408316,48,-14.47,132.26,62.6,8.05
349,Macultepec,75,MX,1559408317,62,18.17,-92.83,86.0,9.71
350,Panguna,58,PG,1559408318,80,-6.32,155.48,82.95,19.39
351,Conway,1,US,1559408320,54,35.09,-92.44,87.01,4.7
352,Myra,50,NO,1559408321,58,58.75,8.86,53.61,16.44
353,Novikovo,100,UA,1559408323,79,45.05,34.56,70.17,3.56
354,Beroroha,2,MG,1559408324,58,-21.68,45.17,69.45,2.59
355,Husavik,1,CA,1559408326,46,50.56,-96.99,62.01,3.0
356,Deputatskiy,8,RU,1559408327,94,69.3,139.9,38.85,2.84
357,Pedernales,81,EC,1559408328,82,0.07,-80.05,78.09,11.54
358,Pocoes,0,BR,1559408330,39,-14.53,-40.37,82.4,9.17
359,Almaznyy,0,RU,1559408331,58,48.03,40.04,82.4,4.47
360,Narsaq,40,GL,1559408333,71,60.91,-46.05,46.4,10.29
361,Sao Jose da Coroa Grande,40,BR,1559408334,67,-8.9,-35.15,83.31,8.77
362,Cabedelo,40,BR,1559408335,66,-6.97,-34.84,86.0,13.87
363,Kununurra,3,AU,1559408337,26,-15.77,128.74,69.8,14.99
364,Severobaykalsk,100,RU,1559408338,98,55.65,109.32,35.25,4.52
365,Havoysund,91,NO,1559408339,93,71.0,24.66,41.0,19.46
366,Vestmanna,100,FO,1559408341,75,62.16,-7.17,46.4,14.99
367,Jardim,67,BR,1559408342,85,-21.48,-56.15,70.53,10.45
368,College,90,US,1559408170,100,64.86,-147.8,53.01,8.05
369,Kurilsk,94,RU,1559408345,88,45.23,147.88,48.93,11.12
370,Birecik,0,TR,1559408346,30,37.03,37.98,86.0,5.82
371,Guantanamo,40,BO,1559408348,62,-16.14,-62.05,86.0,13.87
372,Carmen,100,PH,1559408349,82,7.2,124.8,77.37,1.05
373,Dandeli,62,IN,1559408351,92,15.25,74.62,73.59,5.57
374,Vardo,1,US,1559408352,44,39.62,-77.74,82.99,4.7
375,Half Moon Bay,20,US,1559408353,77,37.46,-122.43,71.01,5.82
376,Hope,1,CA,1559408355,72,49.38,-121.43,72.0,9.17
377,Matagami,87,NG,1559408356,88,9.67,8.4,73.95,3.89
378,Muisne,75,EC,1559408358,79,0.61,-80.02,84.2,4.7
379,Gunjur,0,GM,1559408359,55,13.18,-16.76,86.0,16.11
380,Kosovo Polje,40,BA,1559408360,82,43.8,19.29,55.4,5.82
381,Severomuysk,3,RU,1559408361,61,56.17,113.57,33.99,2.01
382,Akdepe,0,TM,1559408363,39,42.05,59.39,80.6,16.11
383,Pevek,0,RU,1559408364,83,69.7,170.27,33.81,12.64
384,Taoudenni,0,ML,1559408366,8,22.68,-3.98,105.63,14.05
385,Worland,1,US,1559408367,52,44.02,-107.96,71.01,10.29
386,Thinadhoo,79,MV,1559408314,74,0.53,72.93,84.57,9.46
387,Summerside,40,CA,1559408370,31,46.39,-63.79,69.01,12.75
388,Port Elizabeth,1,US,1559408371,54,39.31,-74.98,84.0,3.36
389,Matara,0,PE,1559408372,43,-13.74,-72.9,55.4,7.47
390,Iquique,20,CL,1559408374,63,-20.22,-70.14,64.4,8.05
391,Nago,0,IT,1559408375,39,45.88,10.89,82.0,11.41
392,Brokopondo,40,SR,1559408376,59,5.06,-54.98,89.6,5.82
393,Alice Springs,40,AU,1559408381,80,-23.7,133.88,41.0,6.93
394,Shelburne,20,CA,1559408382,77,44.08,-80.2,73.99,4.7
395,Dingle,86,PH,1559408383,78,11.0,122.67,79.35,7.23
396,Sao Felix do Xingu,67,BR,1559408385,77,-6.64,-51.99,82.95,3.6
397,Salalah,20,OM,1559408386,74,17.01,54.1,87.8,9.17
398,Along,27,IN,1559408388,81,28.17,94.8,57.03,4.61
399,Pathein,100,MM,1559408254,82,16.78,94.73,82.41,5.39
400,Miracatu,78,BR,1559408391,98,-24.28,-47.45,69.81,3.02
401,Lufilufi,5,WS,1559408392,94,-13.87,-171.6,69.8,15.75
402,Kiri Buru,16,IN,1559408393,72,22.08,85.35,84.75,9.28
403,Hervey Bay,90,AU,1559408395,87,-25.3,152.85,62.01,6.93
404,Rocha,92,UY,1559408396,65,-34.48,-54.34,62.61,4.05
405,Scarborough,94,GB,1559408202,72,54.28,-0.41,70.0,1.12
406,Kitimat,75,CA,1559408399,76,54.02,-128.69,55.99,6.93
407,Lasa,20,CY,1559408400,88,34.92,32.53,77.0,13.87
408,Tapes,100,BR,1559408402,72,-30.67,-51.4,65.67,9.8
409,Gombong,74,ID,1559408404,77,-7.19,109.31,76.29,9.35
410,Nouadhibou,1,MR,1559408406,68,20.93,-17.03,71.6,19.46
411,Ulladulla,0,AU,1559408408,93,-35.36,150.48,48.99,10.29
412,Brigham City,1,US,1559408271,48,41.51,-112.02,70.0,6.93
413,Samsun,75,TR,1559408411,77,41.29,36.33,70.0,4.7
414,La Carolina,0,ES,1559408412,5,38.27,-3.62,90.0,9.46
415,Anadyr,0,RU,1559408413,68,64.73,177.51,37.4,8.95
416,Papara,20,BR,1559408415,62,-3.98,-38.73,86.0,17.22
417,Shache,99,CN,1559408416,50,38.42,77.24,80.01,16.96
418,Kahului,20,US,1559408418,64,20.89,-156.47,75.2,14.63
419,Manzhouli,12,CN,1559408419,60,49.6,117.43,48.75,2.42
420,San Policarpo,68,PH,1559408421,79,12.18,125.51,84.93,9.66
421,Lazaro Cardenas,5,MX,1559408422,44,28.39,-105.62,89.01,11.54
422,Los Llanos de Aridane,20,ES,1559408423,69,28.66,-17.92,73.4,14.99
423,Roald,75,NO,1559408425,70,62.58,6.12,51.8,5.82
424,Chor,27,PK,1559408426,31,25.52,69.77,98.07,20.11
425,Takoradi,85,GH,1559408428,92,4.89,-1.75,76.47,3.33
426,Ambulu,51,ID,1559408429,80,-8.35,113.61,78.81,10.63
427,Mangrol,2,IN,1559408430,14,25.33,76.51,104.19,8.68
428,Baruun-Urt,100,MN,1559408432,68,46.68,113.28,54.87,14.65
429,Chunskiy,26,RU,1559408433,67,56.08,99.63,38.13,4.03
430,Vyshkov,0,RU,1559408435,41,52.48,31.69,75.2,8.95
431,Port Hardy,90,CA,1559408296,71,50.7,-127.42,55.4,6.93
432,Buzmeyin,75,TM,1559408437,47,38.05,58.21,77.0,9.17
433,Sangar,66,RU,1559408439,83,63.92,127.47,47.85,5.01
434,Varkaus,0,FI,1559408440,66,62.32,27.87,57.0,2.24
435,Moree,90,AU,1559408442,54,-29.46,149.84,53.6,8.05
436,Boulder,1,US,1559408443,45,40.02,-105.27,73.0,4.7
437,Yar-Sale,5,RU,1559408444,89,66.83,70.83,26.25,7.09
438,Tual,28,ID,1559408446,81,-5.67,132.75,82.95,21.52
439,Bahia de Caraquez,40,EC,1559408448,69,-0.6,-80.42,82.4,2.24
440,Marabba,83,SD,1559408449,30,12.35,32.18,98.79,12.19
441,Romitan,0,UZ,1559408450,64,39.93,64.38,73.4,6.93
442,Rafai,96,CF,1559408452,79,4.95,23.92,75.39,0.89
443,Jieshi,98,CN,1559408453,84,22.82,115.83,78.81,3.58
444,Cherkessk,100,RU,1559408199,65,44.23,42.06,69.63,4.36
445,Kailua,40,US,1559408456,69,21.39,-157.74,80.6,10.29
446,Georgiyevskoye,18,RU,1559408458,85,44.16,39.25,70.53,3.11
447,Biak,97,ID,1559408459,99,-0.91,122.88,65.67,2.93
448,Nikki,100,BJ,1559408461,52,9.94,3.21,86.73,5.06
449,Luocheng,32,CN,1559408462,98,28.29,114.55,61.89,2.39
450,Chivay,1,PE,1559408463,22,-15.64,-71.6,53.97,11.05
451,Ranong,90,TH,1559408465,74,9.96,98.62,83.13,3.04
452,Tessalit,6,ML,1559408466,8,20.2,1.01,100.77,14.16
453,Prince Rupert,90,CA,1559408468,87,54.32,-130.32,50.0,8.05
454,Udachnyy,0,RU,1559408172,28,66.42,112.4,55.4,6.71
455,Dubai,0,AE,1559408322,36,25.27,55.3,95.0,5.82
456,Kandalaksha,98,RU,1559408471,60,67.15,32.41,45.15,10.54
457,Pithoro,1,PK,1559408473,35,25.52,69.38,96.27,18.75
458,Rawson,75,AR,1559408474,43,-43.3,-65.11,58.11,8.43
459,Lima,90,PE,1559408231,82,-12.06,-77.04,66.2,8.05
460,Bowen,90,AU,1559408477,82,-20.01,148.25,64.0,6.93
461,Thanh Hoa,40,VN,1559408478,100,10.21,106.33,80.6,1.12
462,Henties Bay,0,NA,1559408480,93,-22.12,14.28,55.0,8.99
463,Koshurnikovo,100,RU,1559408481,59,54.3,93.39,39.93,4.56
464,Helong,89,CN,1559408483,97,25.94,116.13,71.79,1.92
465,Buenos Aires,0,AR,1559408378,77,-34.61,-58.44,64.99,8.05
466,Zelenoborskiy,100,RU,1559408486,50,66.84,32.36,49.11,9.66
467,Zavyalovo,0,RU,1559408487,87,54.51,82.45,42.8,2.24
468,Walvis Bay,0,NA,1559408489,72,-22.95,14.51,59.0,9.17
469,Carupano,100,VE,1559408410,36,10.67,-63.26,94.83,3.56
470,Bonthe,67,SL,1559408491,72,7.53,-12.5,83.13,9.91
471,Santiago del Estero,25,AR,1559408419,54,-27.8,-64.26,67.83,5.55
472,Andros,99,GR,1559408497,73,37.83,24.93,73.99,6.93
473,Turan,97,RU,1559408499,87,52.15,93.92,42.99,2.91
474,Pangnirtung,20,CA,1559408500,60,66.15,-65.72,41.0,11.41
475,Sandwick,100,GB,1559408501,93,54.57,-2.89,66.0,6.93
476,Dudinka,90,RU,1559408503,100,69.41,86.18,30.2,8.95
477,Honiara,75,SB,1559408504,94,-9.43,159.96,77.0,3.36
478,Vestmannaeyjar,0,IS,1559408506,65,63.44,-20.27,46.4,24.16
479,Hachinohe,20,JP,1559408508,55,40.47,141.48,62.6,9.17
480,Ust-Tsilma,57,RU,1559408509,76,65.44,52.15,50.01,2.91
481,Whitecourt,75,CA,1559408510,67,54.14,-115.68,62.6,3.36
482,Melo,3,UY,1559408512,68,-32.37,-54.17,64.05,6.15
483,Bombay,75,US,1559408513,63,44.94,-74.57,64.99,9.17
484,Manggar,100,ID,1559408515,94,-2.88,108.27,76.83,3.04
485,Kijang,0,KR,1559408516,63,35.24,129.21,64.4,1.32
486,Ondjiva,0,AO,1559408518,18,-17.07,15.73,84.2,4.7
487,Valparaiso,90,US,1559408463,57,41.47,-87.06,82.99,5.82
488,Batagay,3,RU,1559408520,79,67.65,134.64,44.25,8.97
489,Pernem,75,IN,1559408522,79,15.72,73.8,84.2,6.93
490,Sale,94,GB,1559408523,68,53.42,-2.32,72.0,2.24
491,Mount Isa,0,AU,1559408524,37,-20.73,139.49,53.6,13.87
492,Kargalinskaya,35,RU,1559408526,40,43.74,46.48,76.11,12.39
493,Ampanihy,31,MG,1559408527,75,-24.69,44.75,67.83,13.02
494,Del Rio,90,US,1559408412,66,29.36,-100.9,84.2,10.29
495,Marsh Harbour,1,BS,1559408353,73,26.54,-77.06,80.61,2.95
496,Marystown,70,CA,1559408531,60,47.17,-55.16,53.97,5.97
497,Mnogovershinnyy,100,RU,1559408533,96,53.94,139.92,39.39,2.98
498,Murashi,36,RU,1559408534,80,59.4,48.97,52.35,6.62
499,Belyy Yar,40,RU,1559408536,87,53.6,91.39,53.6,2.24
500,Aksu,0,KZ,1559408537,93,52.04,76.93,57.2,11.18
501,Carballo,0,ES,1559408538,50,43.21,-8.69,84.99,3.36
502,Norilsk,90,RU,1559408540,100,69.35,88.2,30.2,8.95
503,Ihiala,100,NG,1559408541,95,5.86,6.86,75.75,4.68
504,Tipuani,31,BO,1559408542,75,-15.56,-68.02,63.51,6.53
505,Yulara,0,AU,1559408544,66,-25.24,130.99,48.2,8.05
506,Saquarema,20,BR,1559408545,83,-22.93,-42.51,82.4,9.17
507,Canon City,1,US,1559408547,62,39.46,-117.13,55.4,3.29
508,Panindicuaro,78,MX,1559408548,32,19.98,-101.76,82.59,6.62
509,Leshukonskoye,82,RU,1559408549,44,64.9,45.76,54.69,5.3
510,California City,1,US,1559408449,29,35.13,-117.99,82.0,8.05
511,Springfield,1,US,1559408552,57,37.22,-93.29,84.0,9.17
512,Funtua,89,NG,1559408554,45,11.52,7.31,87.27,4.61
513,Nome,40,US,1559408555,66,30.04,-94.42,90.0,2.17
514,Kirovskiy,25,RU,1559408557,87,45.09,133.51,49.65,5.17
515,Chiredzi,0,ZW,1559408558,53,-21.05,31.67,63.69,3.15
516,Myitkyina,33,MM,1559408560,90,25.38,97.4,69.99,2.13
517,Saint-Joseph,0,FR,1559408561,31,43.56,6.97,80.6,9.17
518,Portland,40,US,1559408274,72,45.52,-122.67,66.99,5.82
519,Freeport,20,BS,1559408414,62,26.54,-78.7,86.0,9.17
520,Vostok,31,RU,1559408565,97,46.45,135.83,44.07,4.52
521,Mehamn,100,NO,1559408567,95,71.03,27.85,39.21,9.84
522,Boralday,90,KZ,1559408568,33,43.36,76.86,77.0,8.95
523,Verkhnetulomskiy,20,RU,1559408570,70,68.61,31.8,44.6,8.95
524,Karasburg,0,NA,1559408571,32,-28.01,18.75,64.95,7.52
525,Saint-Francois,0,FR,1559408572,42,46.42,3.91,82.4,5.82
526,Belmonte,6,PT,1559408574,29,40.36,-7.35,88.0,7.0
527,Ubinskoye,65,RU,1559408575,81,55.31,79.68,51.63,3.24
528,Kungurtug,59,RU,1559408577,61,50.6,97.53,37.59,4.92
529,Pran Buri,56,TH,1559408578,95,12.39,99.9,73.05,3.24
530,Abu Kamal,0,SY,1559408579,12,34.45,40.92,97.53,12.5
531,Eufaula,1,US,1559408581,38,31.89,-85.15,93.0,5.82
532,Catuday,98,PH,1559408582,76,16.29,119.81,86.91,9.71
533,Sayyan,99,YE,1559408584,29,15.17,44.32,80.43,1.45
534,Mahon,75,IE,1559408585,100,51.89,-8.4,57.2,10.29
535,Ko Samui,70,TH,1559408586,75,9.54,99.94,84.39,6.44
536,Debre Tabor,84,ET,1559408588,41,11.86,38.01,71.97,5.48
537,Lokossa,100,BJ,1559408589,83,6.65,1.72,78.99,4.85
538,Mildura,40,AU,1559408590,87,-34.18,142.16,46.4,5.82
539,Hit,37,IQ,1559408592,13,33.64,42.83,95.73,6.89
540,Wanganui,100,NZ,1559408593,65,-39.93,175.05,50.0,24.0
541,Bodri,44,IN,1559408594,27,23.17,81.43,87.09,6.02
542,Santa Helena,96,BR,1559408596,90,-2.23,-45.3,81.69,3.65
543,Hamilton,75,BM,1559408586,78,32.3,-64.78,80.6,16.11
544,Tanout,75,NE,1559408599,25,14.97,8.88,97.17,10.89
545,La Spezia,20,IT,1559408498,53,44.11,9.83,75.0,9.17
546,Ossora,92,RU,1559408602,73,59.24,163.07,45.33,2.53
547,Outjo,0,NA,1559408603,30,-20.11,16.16,77.0,5.82
548,Sahuaripa,0,MX,1559408579,27,29.05,-109.23,90.15,7.09
549,Maibong,11,IN,1559408605,78,25.3,93.13,75.39,2.8
550,Aykhal,0,RU,1559408607,28,65.95,111.51,55.4,6.71
551,Sherlovaya Gora,43,RU,1559408608,50,50.53,116.31,50.19,3.24
552,Grand Gaube,75,MU,1559408609,94,-20.01,57.66,75.2,8.05
553,Sao Joao dos Patos,46,BR,1559408611,53,-6.5,-43.7,87.09,7.18
554,Tiznit,46,MA,1559408612,46,29.7,-9.73,80.61,19.35
555,Benghazi,100,LY,1559408614,73,32.12,20.07,71.07,16.08
556,Lewistown,1,US,1559408615,54,40.39,-90.15,82.99,14.99
557,Stuttgart,0,DE,1559408504,41,48.78,9.18,84.99,4.7
558,Lampa,75,CL,1559408618,62,-33.29,-70.87,64.4,2.24
559,Chuy,3,UY,1559408619,59,-33.69,-53.46,62.61,4.16
560,Pemba,75,MZ,1559408620,74,-12.97,40.52,78.8,11.41
561,Tarime,40,TZ,1559408622,78,-1.35,34.38,73.4,11.41
